City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,antofagasta,-23.65,-23.65,19.48,84,59,1.9,CL,1711882172
352,andratx,39.5755,39.5755,13.61,68,100,9.45,ES,1711949639
353,fort madison,40.6298,40.6298,11.35,88,100,6.3,US,1711885768
354,san antonio,29.4241,29.4241,24.42,82,100,4.63,US,1711887837
355,kigoma,-4.8769,-4.8769,22.19,91,100,1.22,TZ,1711944202
356,revelstoke,50.9832,50.9832,11.01,35,100,2.06,CA,1711891755
357,ji'an,27.1172,27.1172,22.44,80,100,0.71,CN,1711923037
358,marquette,46.5333,46.5333,1.81,87,80,0.89,US,1711884648
359,manokwari,-0.8667,-0.8667,28.53,72,93,1.53,ID,1711919060
360,nuuk,64.1835,64.1835,2.34,48,20,3.6,GL,1711960978
361,kalmunai,7.4167,7.4167,27.47,76,17,0.53,LK,1711931438
362,lospalos,-8.5186,-8.5186,27.56,76,66,2.56,TL,1711920905
363,tevriz,57.509,57.509,0.82,99,100,2.58,RU,1711931913
364,korla,41.7597,41.7597,8.62,63,100,7.3,CN,1711929484
365,san juan bautista,-14.0108,-14.0108,24.52,60,42,1.26,PE,1711883265
366,hlybokaye,55.1382,55.1382,12.41,85,10,5.29,BY,1711942800
367,montecito,34.4367,34.4367,13.88,87,100,1.54,US,1711892763
368,taulaga,-11.0553,-11.0553,29.68,75,59,7.1,AS,1711906095
369,laminusa,5.5549,5.5549,28.43,73,60,2.58,PH,1711922095
370,lhokseumawe,5.1801,5.1801,27.87,81,84,0.87,ID,1711927804
371,viqueque,-8.8673,-8.8673,28.9,78,92,3.11,TL,1711921064
372,al khums,32.6486,32.6486,23.56,29,0,5.53,LY,1711947032
373,solnechnyy,50.7214,50.7214,-3.87,89,100,5.39,RU,1711916970
374,usinsk,65.9939,65.9939,-7.33,93,97,6.95,RU,1711934586
375,walvis bay,-22.9575,-22.9575,15.61,100,20,3.09,NA,1711948197
376,sirte,31.2089,31.2089,22.86,26,0,5.14,LY,1711946517
377,ugoofaaru,5.6667,5.6667,28.7,73,51,2.71,MV,1711933588
378,saint-pierre,-21.3393,-21.3393,25.82,78,100,3.6,RE,1711938326
379,inarajan village,13.2736,13.2736,31.54,84,94,7.85,GU,1711916220
380,geneina,13.45,13.45,23.16,13,100,4.81,SD,1711945554
381,chonchi,-42.6128,-42.6128,5.56,94,21,0.38,CL,1711883448
382,pacific grove,36.6177,36.6177,14.69,81,75,4.63,US,1711893242
383,lagoa,39.05,39.05,12.91,89,100,5.04,PT,1711956947
384,santa ana,33.7456,33.7456,14.8,77,75,2.57,US,1711892361
385,n'dalatando,-9.2978,-9.2978,19.81,98,98,1.08,AO,1711947820
386,francisco i. madero,29.7059,29.7059,9.51,66,23,10.92,MX,1711890062
387,ha tinh,18.3333,18.3333,33.46,44,0,2.4,VN,1711925428
388,sinegorskiy,48.0139,48.0139,10.9,68,4,2.57,RU,1711940066
389,bay city,43.5945,43.5945,4.12,80,100,1.54,US,1711883875
390,pangkalanbuun,-2.6833,-2.6833,25.64,93,100,1.32,ID,1711924485
391,ta`u,-14.2336,-14.2336,29.5,73,91,8.51,AS,1711905778
392,ternate,0.8,0.8,29.07,73,100,2.92,ID,1711920631
393,sterling,39.0062,39.0062,13.89,75,75,2.06,US,1711882497
394,alvaraes,-3.2208,-3.2208,25.12,92,99,0.93,BR,1711880443
395,taradale,-39.5333,-39.5333,18.34,63,4,2.24,NZ,1711909619
396,saint croix,17.7397,17.7397,24.42,79,21,2.24,VI,1711880020
397,yemetsk,63.4721,63.4721,-2.47,92,100,1.82,RU,1711938675
398,dzhambeyty,50.2536,50.2536,6.49,73,44,3.6,KZ,1711937133
399,pontes e lacerda,-15.2261,-15.2261,25.37,79,90,1.18,BR,1711879352
400,akureyri,65.6835,65.6835,-5.04,93,40,3.09,IS,1711952729
401,kintampo,8.0563,8.0563,26.71,73,13,3.55,GH,1711951469
402,malax,62.9423,62.9423,3.32,100,100,2.06,FI,1711943576
403,lorengau,-2.0226,-2.0226,29.15,80,75,3.45,PG,1711915917
404,norrtalje,59.758,59.758,4.13,95,100,3.07,SE,1711944585
405,habo,57.9119,57.9119,7.46,100,100,1.03,SE,1711945852
406,maragogi,-9.0122,-9.0122,27.02,81,51,1.45,BR,1711873450
407,padang,-0.9492,-0.9492,30.03,80,78,1.08,ID,1711927154
408,salekhard,66.53,66.53,-7.39,95,100,5.29,RU,1711932337
409,noosa heads,-26.3833,-26.3833,25.62,76,100,3.97,AU,1711914987
410,elvas,38.8815,38.8815,7.58,93,99,5.25,PT,1711951961
411,labrador city,52.9463,52.9463,-6.05,73,100,3.6,CA,1711879354
412,hatillo,18.4863,18.4863,23.9,96,47,6.66,PR,1711880505
413,petawawa,45.9001,45.9001,1.44,56,57,1.65,CA,1711882207
414,shiprock,36.7855,36.7855,7.19,51,100,5.96,US,1711890065
415,corner brook,48.9667,48.9667,0.09,98,95,0.58,CA,1711877420
416,sa pa,22.3402,22.3402,22.26,45,100,1.27,VN,1711925828
417,nehe,48.4833,48.4833,-0.12,42,4,4.58,CN,1711919914
418,tayoltita,24.0833,24.0833,17.89,55,89,1.38,MX,1711889757
419,gapyeong,37.831,37.831,16.17,28,38,2.98,KR,1711919712
420,fale old settlement,-9.3852,-9.3852,29.62,74,36,6.22,TK,1711992498
421,jolo,6.05,6.05,31.98,57,23,0.62,PH,1711922060
422,tomarovka,50.6834,50.6834,12.42,64,45,4.02,RU,1711941030
423,belyy yar,53.6039,53.6039,3.94,60,0,7.0,RU,1711927640
424,sinop,41.7711,41.7711,15.36,50,100,2.63,TR,1711941775
425,revda,56.801,56.801,1.11,97,100,5.54,RU,1711934955
426,panguipulli,-39.6333,-39.6333,6.27,77,1,1.0,CL,1711883008
427,castillos,-34.1667,-34.1667,16.03,75,100,4.46,UY,1711878425
428,severo-yeniseyskiy,60.3725,60.3725,-12.77,89,100,4.15,RU,1711926725
429,gunjur,13.2019,13.2019,22.04,68,0,5.14,GM,1711954959
430,porto velho,-8.7619,-8.7619,27.03,89,40,0.0,BR,1711880329
431,wenling,28.3669,28.3669,16.68,86,94,1.21,CN,1711921473
432,howard springs,-12.497,-12.497,32.77,79,100,3.01,AU,1711920010
433,paka,4.6374,4.6374,28.96,79,40,1.03,MY,1711926306
434,drayton valley,53.2168,53.2168,3.01,81,98,2.93,CA,1711890856
435,okahandja,-21.9833,-21.9833,18.06,75,0,2.42,NA,1711947597
436,cuatro cienegas de carranza,26.9833,26.9833,29.11,12,100,1.24,MX,1711888762
437,vilyuchinsk,52.9306,52.9306,2.15,99,100,2.12,RU,1711911626
438,malango,-2.9627,-2.9627,24.34,87,98,0.51,ID,1711922503
439,tazovsky,67.4667,67.4667,-21.65,98,75,2.7,RU,1711929299
440,hengchun,22.0042,22.0042,26.99,76,47,6.79,TW,1711921783
441,colchani,-20.3,-20.3,11.74,31,66,2.54,BO,1711881273
442,garissa,-0.4536,-0.4536,26.1,77,59,2.6,KE,1711941713
443,dinguiraye,11.3,11.3,27.72,47,73,1.1,GN,1711953557
444,derzhavinsk,51.1,51.1,-2.08,83,88,4.92,KZ,1711933798
445,twon-brass,4.3151,4.3151,28.39,83,100,4.97,NG,1711949632
446,oppdal,62.5943,62.5943,1.15,98,100,1.24,NO,1711946460
447,chilca,-12.5211,-12.5211,21.81,87,16,2.86,PE,1711883478
448,harstad,68.799,68.799,-2.69,88,95,8.49,NO,1711943950
